Element,M-At No.,M-At wt.,M-Density,M-M.P,M-B.P,M-Enth.fus,M-Enth.atom,M-Enth.vap,M-Sp.ht Cap,M-Elec.-ve,M-Surface.E,M-1st Ion E,M-cova .radii,M-At.radii,M-Group,M-Period,M-Work F.,M-Elec.Aff,At No.,At wt.,Density,M.P,B.P,Enth.fus,Enth.atom,Enth.vap,Sp.ht Cap,Elec.-ve,Surface.E,1st Ion E,cova .radii,At.radii,Group,Period,Work F.,Elec.Aff,CO_B.E
Ni3M-Zr,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,40,91.224,6.511,2128,4682,21,605,580,278,1.33,1.6,640.1,175,206,4,5,4.05,41.1,-1.519272
Ni3M-Nb,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,41,92.9,8.57,2750,5017,26.8,733,690,265,1.6,2.06,652.1,164,198,5,5,4.36,86.1,-0.89309
Ni3M-Mo,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,-1.00298
Ni3M-Ru,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,44,101.07,12.37,2607,4423,25.7,652,580,238,2.2,2.6,710.2,126,178,8,5,4.65,101.3,-1.26293
Ni3M-Rh,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,-1.336125
Ni3M-Ag,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,0.76,731,145,165,11,5,4.63,125.6,-1.442138
Ni3M-In,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,49,114.818,7.31,429.75,2345,3.26,243,230,233,1.78,0.3,558.3,142,156,13,5,4.09,28.9,-1.343125
Ni3M-Sn,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,50,118.71,7.31,505.08,2875,7,302,290,217,1.96,0.54,708.6,139,145,14,5,4.42,107.3,-1.237124
Ni3M-La,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,57,138.9,6.146,1193,3737,6.3,431,400,195,1.1,0.7,538.1,207,187,,6,3.5,48,-1.697448
Ni3M-Ta,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,73,180.94,16.65,3290,5731,36,782,736,140,1.5,2.34,761,170,200,5,6,4,31,-0.817677
Ni3M-W,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,74,183.84,19.25,3695,5828,35,860,800,132,2.36,3.23,770,162,193,6,6,4.44,78.6,-0.787014
Ni3M-Re,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,-0.967467
Ni3M-Os,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,76,190.23,22.59,3306,5285,31,789,630,130,2.2,2.95,840,128,185,8,6,5.93,106.1,-1.076222
Ni3M-Ir,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,-1.296423
Ni3M-Pt,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,-1.328044
Ni3M-Au,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,-1.380402
Ni3M-Tl,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,81,204.38,11.85,577,1746,4.2,182,165,129,1.62,0.22,589.4,145,156,13,6,3.84,19.2,-1.232489
Ni3M-Pb,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,2.011,737.1,121,149,10,4,5.35,112,82,207.2,11.34,600.61,2022,4.77,195,178,127,2.33,0.26,715.6,146,154,14,6,4.25,35.1,-1.185398
Re3M-V,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,23,50.94,6.11,2183,3680,22.8,515,453,489,1.63,2.38,650.9,153,171,5,4,4.3,50.6,-1.708272
Re3M-Cr,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,-1.642274
Re3M-Mn,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,25,54.9,7.47,1519,2334,13.2,281,220,479,1.55,3.39,717.3,139,161,7,4,4.1,-50,-1.589293
Re3M-Co,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,27,58.933,8.9,1768,3200,16.2,426,375,421,1.88,2.11,760.4,126,152,9,4,5,63.7,-1.697363
Re3M-Ni,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,-1.661421
Re3M-Cu,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,-1.481631
Re3M-Mo,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,-1.657282
Re3M-Rh,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,-1.743316
Re3M-Pd,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,-1.662265
Re3M-Ag,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,0.76,731,145,165,11,5,4.63,125.6,-1.433081
Re3M-Ta,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,73,180.94,16.65,3290,5731,36,782,736,140,1.5,2.34,761,170,200,5,6,4,31,-1.827457
Re3M-W,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,74,183.84,19.25,3695,5828,35,860,800,132,2.36,3.23,770,162,193,6,6,4.44,78.6,-1.634671
Re3M-Os,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,76,190.23,22.59,3306,5285,31,789,630,130,2.2,2.95,840,128,185,8,6,5.93,106.1,-1.490851
Re3M-Ir,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,-1.703313
Re3M-Pt,75,186.21,21.02,3459,5869,33,776,705,137,1.9,4.628,760,159,188,7,6,4.72,14.5,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,-1.637318
Rh3M-Sc,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,21,44.955,2.985,1814,3013,16,378,318,567,1.36,1.2,633.1,170,184,3,4,3.5,18.1,-1.697171
Rh3M-Ti,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,22,47.867,4.507,1941,3560,18.7,471,425,520,1.54,1.93,658.8,160,176,4,4,4.33,7.6,-1.703286
Rh3M-V,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,23,50.94,6.11,2183,3680,22.8,515,453,489,1.63,2.38,650.9,153,171,5,4,4.3,50.6,-1.645399
Rh3M-Cr,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,-1.615599
Rh3M-Mn,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,25,54.9,7.47,1519,2334,13.2,281,220,479,1.55,3.39,717.3,139,161,7,4,4.1,-50,-1.643585
Rh3M-Co,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,27,58.933,8.9,1768,3200,16.2,426,375,421,1.88,2.11,760.4,126,152,9,4,5,63.7,-1.615187
Rh3M-Ni,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,-1.640948
Rh3M-Cu,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,-1.682717
Rh3M-Zn,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,30,65.38,7.14,692.68,1180,7.35,131,119,388,1.65,0.33,906.4,122,142,12,4,3.63,-58,-1.548859
Rh3M-Ga,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,31,69.723,5.904,302.91,2477,5.59,277,256,371,1.81,0.48,578.8,122,136,13,4,4.32,28.9,-1.409096
Rh3M-Y,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,39,88.9,4.472,1799,3618,11.4,425,380,298,1.22,1,600,190,212,3,5,3.183,29.6,-1.788954
Rh3M-Zr,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,40,91.224,6.511,2128,4682,21,605,580,278,1.33,1.6,640.1,175,206,4,5,4.05,41.1,-1.780943
Rh3M-Nb,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,41,92.9,8.57,2750,5017,26.8,733,690,265,1.6,2.06,652.1,164,198,5,5,4.36,86.1,-1.719169
Rh3M-Mo,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,-1.49075
Rh3M-Ru,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,44,101.07,12.37,2607,4423,25.7,652,580,238,2.2,2.6,710.2,126,178,8,5,4.65,101.3,-1.604015
Rh3M-Pd,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,-1.781109
Rh3M-Ag,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,0.76,731,145,165,11,5,4.63,125.6,-1.772616
Rh3M-In,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,49,114.818,7.31,429.75,2345,3.26,243,230,233,1.78,0.3,558.3,142,156,13,5,4.09,28.9,-1.442491
Rh3M-Ta,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,73,180.94,16.65,3290,5731,36,782,736,140,1.5,2.34,761,170,200,5,6,4,31,-1.72431
Rh3M-W,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,74,183.84,19.25,3695,5828,35,860,800,132,2.36,3.23,770,162,193,6,6,4.44,78.6,-1.450554
Rh3M-Re,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,-1.338942
Rh3M-Ir,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,-1.62149
Rh3M-Pt,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,-1.749287
Rh3M-Au,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,-1.749918
Rh3M-Tl,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,2.472,719.7,135,173,9,5,4.98,109.7,81,204.38,11.85,577,1746,4.2,182,165,129,1.62,0.22,589.4,145,156,13,6,3.84,19.2,-1.392399
Ir3M-Sc,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,21,44.955,2.985,1814,3013,16,378,318,567,1.36,1.2,633.1,170,184,3,4,3.5,18.1,-1.910275
Ir3M-Ti,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,22,47.867,4.507,1941,3560,18.7,471,425,520,1.54,1.93,658.8,160,176,4,4,4.33,7.6,-1.977789
Ir3M-Ni,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,-1.842761
Ir3M-Cu,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,-1.869845
Ir3M-Zn,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,30,65.38,7.14,692.68,1180,7.35,131,119,388,1.65,0.33,906.4,122,142,12,4,3.63,-58,-1.733965
Ir3M-Ga,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,31,69.723,5.904,302.91,2477,5.59,277,256,371,1.81,0.48,578.8,122,136,13,4,4.32,28.9,-1.729303
Ir3M-Y,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,39,88.9,4.472,1799,3618,11.4,425,380,298,1.22,1,600,190,212,3,5,3.183,29.6,-1.981155
Ir3M-Zr,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,40,91.224,6.511,2128,4682,21,605,580,278,1.33,1.6,640.1,175,206,4,5,4.05,41.1,-2.040725
Ir3M-Nb,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,41,92.9,8.57,2750,5017,26.8,733,690,265,1.6,2.06,652.1,164,198,5,5,4.36,86.1,-1.845207
Ir3M-Mo,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,-1.581226
Ir3M-Ru,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,44,101.07,12.37,2607,4423,25.7,652,580,238,2.2,2.6,710.2,126,178,8,5,4.65,101.3,-1.780476
Ir3M-Rh,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,-1.819049
Ir3M-Pd,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,-1.988553
Ir3M-Ag,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,0.76,731,145,165,11,5,4.63,125.6,-2.009812
Ir3M-La,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,57,138.9,6.146,1193,3737,6.3,431,400,195,1.1,0.7,538.1,207,187,,6,3.5,48,-1.968108
Ir3M-Ta,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,73,180.94,16.65,3290,5731,36,782,736,140,1.5,2.34,761,170,200,5,6,4,31,-1.852168
Ir3M-W,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,74,183.84,19.25,3695,5828,35,860,800,132,2.36,3.23,770,162,193,6,6,4.44,78.6,-1.541144
Ir3M-Re,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,-1.447916
Ir3M-Os,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,76,190.23,22.59,3306,5285,31,789,630,130,2.2,2.95,840,128,185,8,6,5.93,106.1,-1.608018
Ir3M-Pt,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,-1.956184
Ir3M-Au,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,-1.998453
Ir3M-Bi,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.971,880,137,180,9,6,5.76,151,83,208.98,9.78,544.4,1837,10.9,207,160,122,2.02,0.17,703,148,143,15,6,4.34,91.2,-1.794044
