Element,M-At No.,M-At wt.,M-Density,M-M.P,M-B.P,M-Enth.fus,M-Enth.atom,M-Enth.vap,M-Sp.ht Cap,M-Elec.-ve,M-Surface.E,M-1st Ion E,M-cova .radii,M-At.radii,M-Group,M-Period,M-Work F.,M-Elec.Aff,At No.,At wt.,Density,M.P,B.P,Enth.fus,Enth.atom,Enth.vap,Sp.ht Cap,Elec.-ve,Surface.E,1st Ion E,cova .radii,At.radii,Group,Period,Work F.,Elec.Aff,OH_B.E
Au3M-Bi-Ni,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,0.505941
Au3M-Bi-Nb,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,41,92.9,8.57,2750,5017,26.8,733,690,265,1.6,2.06,652.1,164,198,5,5,4.36,86.1,-1.491211
Au3M-Bi-Mo,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,-0.647756
Au3M-Bi-Pd,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,1.169243
Au3M-Bi-Re,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,-0.949814
Au3M-Bi-Os,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,76,190.23,22.59,3306,5285,31,789,630,130,2.2,2.95,840,128,185,8,6,5.93,106.1,-0.435172
Au3M-Bi-Ir,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,0.288151
Au3M-Bi-Pt,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,0.827876
Cu3M-Bi-Ti,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,22,47.867,4.507,1941,3560,18.7,471,425,520,1.54,1.93,658.8,160,176,4,4,4.33,7.6,-1.595596
Cu3M-Bi-V,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,23,50.94,6.11,2183,3680,22.8,515,453,489,1.63,2.38,650.9,153,171,5,4,4.3,50.6,-1.090124
Cu3M-Bi-Cr,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,-0.345197
Cu3M-Bi-Mn,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,25,54.9,7.47,1519,2334,13.2,281,220,479,1.55,3.39,717.3,139,161,7,4,4.1,-50,-0.259811
Cu3M-Bi-Co,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,27,58.933,8.9,1768,3200,16.2,426,375,421,1.88,2.11,760.4,126,152,9,4,5,63.7,0.054888
Cu3M-Bi-Ni,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,0.327646
Cu3M-Bi-Nb,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,41,92.9,8.57,2750,5017,26.8,733,690,265,1.6,2.06,652.1,164,198,5,5,4.36,86.1,-1.67635
Cu3M-Bi-Mo,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,-1.142032
Cu3M-Bi-Ru,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,44,101.07,12.37,2607,4423,25.7,652,580,238,2.2,2.6,710.2,126,178,8,5,4.65,101.3,0.151303
Cu3M-Bi-Rh,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,0.57287
Cu3M-Bi-Pd,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,1.014802
Cu3M-Bi-W,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,74,183.84,19.25,3695,5828,35,860,800,132,2.36,3.23,770,162,193,6,6,4.45,78.6,-1.642508
Cu3M-Bi-Re,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,-1.17252
Cu3M-Bi-Os,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,76,190.23,22.59,3306,5285,31,789,630,130,2.2,2.95,840,128,185,8,6,5.93,106.1,-0.431274
Cu3M-Bi-Ir,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,0.344502
Cu3M-Bi-Pt,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,0.813038
Cu3M-Bi-Au,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,1.319589
Pt3M-Bi-Ti,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,22,47.867,4.507,1941,3560,18.7,471,425,520,1.54,1.93,658.8,160,176,4,4,4.33,7.6,-0.755567
Pt3M-Bi-V,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,23,50.94,6.11,2183,3680,22.8,515,453,489,1.63,2.38,650.9,153,171,5,4,4.3,50.6,-0.64127
Pt3M-Bi-Cr,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,-0.084832
Pt3M-Bi-Mn,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,25,54.9,7.47,1519,2334,13.2,281,220,479,1.55,3.39,717.3,139,161,7,4,4.1,-50,0.322602
Pt3M-Bi-Co,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,27,58.933,8.9,1768,3200,16.2,426,375,421,1.88,2.11,760.4,126,152,9,4,5,63.7,0.604051
Pt3M-Bi-Ni,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,0.761248
Pt3M-Bi-Cu,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,1.255333
Pt3M-Bi-Nb,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,41,92.9,8.57,2750,5017,26.8,733,690,265,1.6,2.06,652.1,164,198,5,5,4.36,86.1,-1.147577
Pt3M-Bi-Mo,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,-0.700251
Pt3M-Bi-Ru,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,44,101.07,12.37,2607,4423,25.7,652,580,238,2.2,2.6,710.2,126,178,8,5,4.65,101.3,0.410341
Pt3M-Bi-Rh,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,0.680807
Pt3M-Bi-Pd,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,1.163669
Pt3M-Bi-Ag,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,0.76,731,145,165,11,5,4.63,125.6,1.800879
Pt3M-Bi-Ta,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,73,180.94,16.65,3290,5731,36,782,736,140,1.5,2.34,761,170,200,5,6,4,31,-1.521283
Pt3M-Bi-W,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,74,183.84,19.25,3695,5828,35,860,800,132,2.36,3.23,770,162,193,6,6,4.45,78.6,-1.258963
Pt3M-Bi-Re,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,-0.682236
Pt3M-Bi-Os,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,76,190.23,22.59,3306,5285,31,789,630,130,2.2,2.95,840,128,185,8,6,5.93,106.1,-0.115017
Pt3M-Bi-Ir,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,0.434639
Pt3M-Bi-Au,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,1.649654
Pd3M-Bi-Ti,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,22,47.867,4.507,1941,3560,18.7,471,425,520,1.54,1.93,658.8,160,176,4,4,4.33,7.6,-1.026286
Pd3M-Bi-Cr,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,23,50.94,6.11,2183,3680,22.8,515,453,489,1.63,2.38,650.9,153,171,5,4,4.3,50.6,-0.266668
Pd3M-Bi-Co,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,0.283364
Pd3M-Bi-Ni,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,25,54.9,7.47,1519,2334,13.2,281,220,479,1.55,3.39,717.3,139,161,7,4,4.1,-50,0.473619
Pd3M-Bi-Cu,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,27,58.933,8.9,1768,3200,16.2,426,375,421,1.88,2.11,760.4,126,152,9,4,5,63.7,0.963015
Pd3M-Bi-Nb,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,41,92.9,8.57,2750,5017,26.8,733,690,265,1.6,2.06,652.1,164,198,5,5,4.36,86.1,-1.41682
Pd3M-Bi-Mo,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,-0.804982
Pd3M-Bi-Ru,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,44,101.07,12.37,2607,4423,25.7,652,580,238,2.2,2.6,710.2,126,178,8,5,4.65,101.3,0.231183
Pd3M-Bi-Rh,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,0.442053
Pd3M-Bi-Ag,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,47,107.87,10.49,1234.93,2435,11.3,285,255,235,1.93,0.76,731,145,165,11,5,4.63,125.6,1.59402
Pd3M-Bi-W,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,74,183.84,19.25,3695,5828,35,860,800,132,2.36,3.23,770,162,193,6,6,4.45,78.6,-1.351321
Pd3M-Bi-Re,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,-0.756666
Pd3M-Bi-Os,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,76,190.23,22.59,3306,5285,31,789,630,130,2.2,2.95,840,128,185,8,6,5.93,106.1,-0.2757
Pd3M-Bi-Ir,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,0.253436
Pd3M-Bi-Au,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,1.490694
Ni3M-Bi-Ti,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,22,47.867,4.507,1941,3560,18.7,471,425,520,1.54,1.93,658.8,160,176,4,4,4.33,7.6,-0.894524
Ni3M-Bi-V,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,23,50.94,6.11,2183,3680,22.8,515,453,489,1.63,2.38,650.9,153,171,5,4,4.3,50.6,-0.942305
Ni3M-Bi-Cr,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,-0.38207
Ni3M-Bi-Mn,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,25,54.9,7.47,1519,2334,13.2,281,220,479,1.55,3.39,717.3,139,161,7,4,4.1,-50,-0.038512
Ni3M-Bi-Co,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,27,58.933,8.9,1768,3200,16.2,426,375,421,1.88,2.11,760.4,126,152,9,4,5,63.7,0.337533
Ni3M-Bi-Cu,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,0.924698
Ni3M-Bi-Nb,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,41,92.9,8.57,2750,5017,26.8,733,690,265,1.6,2.06,652.1,164,198,5,5,4.36,86.1,-1.27392
Ni3M-Bi-Mo,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,-0.940187
Ni3M-Bi-Ru,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,44,101.07,12.37,2607,4423,25.7,652,580,238,2.2,2.6,710.2,126,178,8,5,4.65,101.3,0.320204
Ni3M-Bi-Rh,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,0.56707
Ni3M-Bi-Ta,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,73,180.94,16.65,3290,5731,36,782,736,140,1.5,2.34,761,170,200,5,6,4,31,-1.590614
Ni3M-Bi-W,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,74,183.84,19.25,3695,5828,35,860,800,132,2.36,3.23,770,162,193,6,6,4.45,78.6,-1.384277
Ni3M-Bi-Re,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,-0.952121
Ni3M-Bi-Os,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,76,190.23,22.59,3306,5285,31,789,630,130,2.2,2.95,840,128,185,8,6,5.93,106.1,-0.267824
Ni3M-Bi-Ir,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,77,192.22,22.56,2739,4701,26,671,560,131,2.2,2.36,880,137,180,9,6,5.76,151,0.389986
Ni3M-Bi-Pt,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,78,195.08,21.45,2041.4,4098,20,565,490,133,2.28,1.49,870,136,177,10,6,5.97,205.3,0.897481
Ni3M-Bi-Au,28,58.693,8.908,1728,3186,17.2,431,378,445,1.91,1.92,737.1,121,149,10,4,5.24,112,79,196.96,19.3,1337.33,3129,12.5,368,330,129.1,2.54,0.74,890.13,136,174,11,6,5.41,222.8,1.380123
Re3M-Bi-V,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,23,50.94,6.11,2183,3680,22.8,515,453,489,1.63,2.38,650.9,153,171,5,4,4.3,50.6,-0.87527
Re3M-Bi-Cr,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,24,51.9961,7.19,2180,2944,20.5,397,339,448,1.66,3.22,652.9,139,166,6,4,4.5,64.3,-0.350206
Re3M-Bi-Mn,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,25,54.9,7.47,1519,2334,13.2,281,220,479,1.55,3.39,717.3,139,161,7,4,4.1,-50,-0.279672
Re3M-Bi-Co,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,27,58.933,8.9,1768,3200,16.2,426,375,421,1.88,2.11,760.4,126,152,9,4,5,63.7,0.669384
Re3M-Bi-Cu,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,29,63.546,8.96,1357,2835,13.1,338,300,384.4,1.9,1.34,745.5,132,145,11,4,5.09,118.4,1.13479
Re3M-Bi-Mo,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,42,95.95,10.28,2896,4639,36,659,600,251,2.16,2.78,684.3,154,190,6,5,4.52,71.9,-0.553397
Re3M-Bi-Rh,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,45,102.91,12.45,2237,3968,21.7,556,495,240,2.28,1.98,719.7,135,173,9,5,5.2,109.7,0.837155
Re3M-Bi-Pd,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,46,106.42,12.023,1828.05,3236,16.7,377,380,240,2.2,1.36,804.4,131,169,10,5,5.47,53.7,1.203253
Re3M-Bi-Ta,75,186.21,21.02,3459,5869,33,776,705,137,1.9,2.57,760,159,188,7,6,4.72,14.5,73,180.94,16.65,3290,5731,36,782,736,140,1.5,2.34,761,170,200,5,6,4,31,-1.404381
